334_373,334_384,ratio,surfactant,assay,time,replicate,concentration
152836.0,211684.0,0.7220007180514352,SDS,c,20,1,10.625
153616.0,214748.0,0.7153314582673646,SDS,c,20,1,12.75
135936.0,183989.0,0.7388267776877966,SDS,c,20,1,16.460179221381527
122152.0,166906.0,0.7318610475357387,SDS,c,20,1,21.25
148084.0,186628.0,0.793471504811711,NaC,b,5,2,5.599999999999999
147619.0,183812.0,0.8030977302896438,NaC,b,5,2,7.22956891292051
146386.0,182870.0,0.8004921528954996,NaC,b,5,2,9.333333333333334
185859.0,229971.0,0.8081845102208539,NaC,b,5,2,10.5
152546.0,197782.0,0.7712835343964567,NaC,b,5,2,11.9
165787.0,221702.0,0.7477920812622348,NaC,b,5,2,13.3
186257.0,257240.0,0.7240592442854922,NaC,b,5,2,14.7
183946.0,258931.0,0.7104054748176155,NaC,b,5,2,16.1
195260.0,280530.0,0.6960396392542687,NaC,b,5,2,17.5
230565.0,344150.0,0.6699549614993462,NaC,b,5,2,21.0
228106.0,347337.0,0.656728191928876,NaC,b,5,2,27.110883423451927
222716.0,342607.0,0.6500626081778831,NaC,b,5,2,35.0
139872.0,173052.0,0.8082657235975313,NaC,c,5,2,5.599999999999999
145563.0,180357.0,0.8070826194713817,NaC,c,5,2,7.22956891292051
152723.0,191941.0,0.795676796515596,NaC,c,5,2,9.333333333333334
157552.0,200966.0,0.783973408437248,NaC,c,5,2,10.5
166052.0,214070.0,0.7756901947960947,NaC,c,5,2,11.9
166202.0,217325.0,0.7647624525480271,NaC,c,5,2,13.3
185493.0,248588.0,0.7461864611324762,NaC,c,5,2,14.7
193217.0,267489.0,0.7223362456026229,NaC,c,5,2,16.1
194061.0,278782.0,0.6961030482599307,NaC,c,5,2,17.5
205137.0,304044.0,0.6746951099183013,NaC,c,5,2,21.0
207900.0,316476.0,0.6569218518939824,NaC,c,5,2,27.110883423451927
222014.0,340576.0,0.6518779949262427,NaC,c,5,2,35.0
129328.0,159973.0,0.8084364236464904,NaDC,c,10,1,2.135
123838.0,152088.0,0.814252274998685,NaDC,c,10,1,2.756273148050945
127553.0,156793.0,0.8135120828098193,NaDC,c,10,1,3.5583333333333336
126567.0,157099.0,0.8056512135659679,NaDC,c,10,1,4.003125000000001
127555.0,158499.0,0.8047684843437498,NaDC,c,10,1,4.536875
130518.0,158127.0,0.8253998368400084,NaDC,c,10,1,5.070625000000001
169544.0,234115.0,0.7241911026632211,NaDC,c,10,1,5.604375
167074.0,232524.0,0.7185236792761177,NaDC,c,10,1,6.1381250000000005
164838.0,235259.0,0.7006660744116059,NaDC,c,10,1,6.671875
160392.0,230827.0,0.6948580538671819,NaDC,c,10,1,8.006250000000003
152803.0,221510.0,0.6898243871608505,NaDC,c,10,1,10.336024305191044
136983.0,195109.0,0.702084475857085,NaDC,c,10,1,13.343749999999996
140851.0,175870.0,0.8008813328026383,NaDC,b,10,1,2.135
131088.0,158090.0,0.829198557783541,NaDC,b,10,1,2.756273148050945
148626.0,179279.0,0.829020688424188,NaDC,b,10,1,3.5583333333333336
156670.0,188606.0,0.8306734674400602,NaDC,b,10,1,4.003125000000001
123117.0,150472.0,0.8182053804029986,NaDC,b,10,1,4.536875
118492.0,144280.0,0.8212642084835043,NaDC,b,10,1,5.070625000000001
161255.0,226589.0,0.7116629668695303,NaDC,b,10,1,5.604375
169360.0,241302.0,0.7018590811514203,NaDC,b,10,1,6.1381250000000005
168602.0,241533.0,0.6980495418845458,NaDC,b,10,1,6.671875
162116.0,235089.0,0.689594153703491,NaDC,b,10,1,8.006250000000003
153354.0,222006.0,0.690765114456366,NaDC,b,10,1,10.336024305191044
129221.0,185142.0,0.6979561633772996,NaDC,b,10,1,13.343749999999996
135162.0,168539.0,0.8019627504613176,NaC,c,5,3,5.599999999999999
141473.0,176835.0,0.8000282749455707,NaC,c,5,3,7.22956891292051
147787.0,187161.0,0.7896249752886553,NaC,c,5,3,9.333333333333334
152762.0,195919.0,0.7797201904868849,NaC,c,5,3,10.5
160222.0,210093.0,0.7626241712003732,NaC,c,5,3,11.9
160251.0,212798.0,0.7530662882169945,NaC,c,5,3,13.3
181098.0,244619.0,0.7403267939121655,NaC,c,5,3,14.7
189472.0,263372.0,0.7194082894157313,NaC,c,5,3,16.1
189949.0,274227.0,0.6926706706487691,NaC,c,5,3,17.5
201812.0,299073.0,0.6747917732459968,NaC,c,5,3,21.0
204866.0,312991.0,0.654542782380324,NaC,c,5,3,27.110883423451927
220007.0,339140.0,0.6487202925045704,NaC,c,5,3,35.0
144055.0,183926.0,0.7832226003936366,NaC,b,5,3,5.599999999999999
143292.0,180355.0,0.7944997366305342,NaC,b,5,3,7.22956891292051
142583.0,179344.0,0.7950252029619056,NaC,b,5,3,9.333333333333334
179912.0,225321.0,0.7984697387283032,NaC,b,5,3,10.5
150111.0,195512.0,0.767784074634805,NaC,b,5,3,11.9
162972.0,217569.0,0.7490589192394137,NaC,b,5,3,13.3
183172.0,251360.0,0.728723742838956,NaC,b,5,3,14.7
179898.0,254632.0,0.7065019322001947,NaC,b,5,3,16.1
192546.0,277321.0,0.6943073189552901,NaC,b,5,3,17.5
226604.0,338160.0,0.6701088242252188,NaC,b,5,3,21.0
225209.0,343221.0,0.656163230105384,NaC,b,5,3,27.110883423451927
219952.0,337274.0,0.652146326132462,NaC,b,5,3,35.0
150402.0,183468.0,0.8197723853751063,NaC,b,10,1,5.599999999999999
147928.0,179536.0,0.823946172355405,NaC,b,10,1,7.22956891292051
146798.0,181644.0,0.8081632203651098,NaC,b,10,1,9.333333333333334
187479.0,233025.0,0.80454457676215,NaC,b,10,1,10.5
152993.0,196148.0,0.7799875604135653,NaC,b,10,1,11.9
166552.0,221471.0,0.7520262246524375,NaC,b,10,1,13.3
185685.0,252256.0,0.736097456552074,NaC,b,10,1,14.7
180425.0,255336.0,0.7066179465488611,NaC,b,10,1,16.1
193804.0,279823.0,0.6925949618151475,NaC,b,10,1,17.5
231937.0,344584.0,0.6730927727346597,NaC,b,10,1,21.0
230286.0,346501.0,0.6646041425565872,NaC,b,10,1,27.110883423451927
211785.0,322898.0,0.6558882371522896,NaC,b,10,1,35.0
144599.0,172223.0,0.8396033050173322,NaC,c,10,1,5.599999999999999
148299.0,181473.0,0.8171959465044387,NaC,c,10,1,7.22956891292051
156199.0,190581.0,0.819593768528867,NaC,c,10,1,9.333333333333334
161668.0,198954.0,0.8125898448887683,NaC,c,10,1,10.5
171711.0,216399.0,0.7934925762133836,NaC,c,10,1,11.9
166098.0,208884.0,0.795168610329178,NaC,c,10,1,13.3
177918.0,234190.0,0.759716469533285,NaC,c,10,1,14.7
180887.0,245499.0,0.7368135919087246,NaC,c,10,1,16.1
195385.0,278220.0,0.7022679893609374,NaC,c,10,1,17.5
205831.0,304564.0,0.6758218305512141,NaC,c,10,1,21.0
209031.0,317347.0,0.6586827668136142,NaC,c,10,1,27.110883423451927
226885.0,345223.0,0.6572128739973871,NaC,c,10,1,35.0
118821.0,147527.0,0.8054186691249737,SDS,c,20,2,3.4
129632.0,158563.0,0.8175425540636845,SDS,c,20,2,4.389381125701739
125387.0,155053.0,0.8086718734884201,SDS,c,20,2,5.666666666666667
123611.0,153330.0,0.8061762212222005,SDS,c,20,2,6.375
125140.0,155196.0,0.8063352148251244,SDS,c,20,2,7.225
128717.0,165605.0,0.7772531022614052,SDS,c,20,2,8.075
134290.0,181551.0,0.7396819626441055,SDS,c,20,2,8.925
125886.0,172516.0,0.7297062301467689,SDS,c,20,2,9.775
147520.0,208725.0,0.7067672775182656,SDS,c,20,2,10.625
151256.0,212981.0,0.7101854156004527,SDS,c,20,2,12.75
131314.0,181743.0,0.7225257644035809,SDS,c,20,2,16.460179221381527
118620.0,162534.0,0.7298165306951161,SDS,c,20,2,21.25
135270.0,168102.0,0.8046900096370061,SDS,b,20,2,3.4
136778.0,169118.0,0.8087725729963694,SDS,b,20,2,4.389381125701739
136432.0,168182.0,0.8112164203065726,SDS,b,20,2,5.666666666666667
125202.0,153641.0,0.8148996687082224,SDS,b,20,2,6.375
114636.0,141074.0,0.8125948083984292,SDS,b,20,2,7.225
112495.0,139149.0,0.8084499349618035,SDS,b,20,2,8.075
133745.0,180169.0,0.7423308116268614,SDS,b,20,2,8.925
156147.0,218409.0,0.714929329835309,SDS,b,20,2,9.775
156903.0,221437.0,0.7085672222799261,SDS,b,20,2,10.625
143548.0,199024.0,0.7212597475681325,SDS,b,20,2,12.75
140792.0,194614.0,0.7234423011705222,SDS,b,20,2,16.460179221381527
124380.0,169835.0,0.7323578767627403,SDS,b,20,2,21.25
140869.0,177100.0,0.7954206662902316,NaC,b,10,3,5.599999999999999
139478.0,173420.0,0.8042786299158113,NaC,b,10,3,7.22956891292051
139787.0,175491.0,0.7965479711210262,NaC,b,10,3,9.333333333333334
174605.0,222806.0,0.783663815157581,NaC,b,10,3,10.5
146225.0,188962.0,0.7738328341147955,NaC,b,10,3,11.9
159232.0,213732.0,0.7450077667359123,NaC,b,10,3,13.3
179671.0,245918.0,0.7306134565180263,NaC,b,10,3,14.7
174071.0,248914.0,0.6993218541343597,NaC,b,10,3,16.1
187709.0,269851.0,0.6956023879844804,NaC,b,10,3,17.5
223540.0,335890.0,0.6655154961445712,NaC,b,10,3,21.0
222908.0,340281.0,0.6550703683132469,NaC,b,10,3,27.110883423451927
205242.0,315579.0,0.6503664692517563,NaC,b,10,3,35.0
131540.0,163853.0,0.8027927471575131,NaC,c,10,3,5.599999999999999
137899.0,171227.0,0.8053577998796919,NaC,c,10,3,7.22956891292051
143549.0,182844.0,0.7850900220953381,NaC,c,10,3,9.333333333333334
148851.0,190471.0,0.781489045576492,NaC,c,10,3,10.5
156430.0,203825.0,0.7674720961609224,NaC,c,10,3,11.9
152143.0,201043.0,0.7567684525201076,NaC,c,10,3,13.3
164196.0,223771.0,0.7337680038968409,NaC,c,10,3,14.7
168215.0,237164.0,0.7092771246900879,NaC,c,10,3,16.1
187049.0,269567.0,0.6938868630062285,NaC,c,10,3,17.5
198565.0,296067.0,0.6706758943077074,NaC,c,10,3,21.0
203932.0,310087.0,0.6576605920273988,NaC,c,10,3,27.110883423451927
220412.0,336436.0,0.6551379757219798,NaC,c,10,3,35.0
145903.0,178121.0,0.8191229557435675,NaC,c,5,1,5.599999999999999
153998.0,186592.0,0.8253194134796776,NaC,c,5,1,7.22956891292051
160454.0,196220.0,0.8177250025481603,NaC,c,5,1,9.333333333333334
166490.0,205602.0,0.8097683874670479,NaC,c,5,1,10.5
174333.0,220285.0,0.7913975077740201,NaC,c,5,1,11.9
174256.0,223207.0,0.7806923617986891,NaC,c,5,1,13.3
192287.0,256817.0,0.7487315870834096,NaC,c,5,1,14.7
199577.0,274231.0,0.727769654050782,NaC,c,5,1,16.1
198818.0,284060.0,0.6999155108075759,NaC,c,5,1,17.5
207145.0,309784.0,0.6686755933166335,NaC,c,5,1,21.0
210754.0,320386.0,0.657812763354204,NaC,c,5,1,27.110883423451927
227033.0,345036.0,0.6579980060051704,NaC,c,5,1,35.0
153383.0,189092.0,0.8111554164110591,NaC,b,5,1,5.599999999999999
152081.0,187538.0,0.8109343173116915,NaC,b,5,1,7.22956891292051
152763.0,188941.0,0.8085222371004706,NaC,b,5,1,9.333333333333334
194017.0,243932.0,0.7953733007559484,NaC,b,5,1,10.5
159132.0,203006.0,0.783878309015497,NaC,b,5,1,11.9
170887.0,226601.0,0.7541317116870623,NaC,b,5,1,13.3
190363.0,261699.0,0.7274120267941414,NaC,b,5,1,14.7
185853.0,263759.0,0.7046318798600237,NaC,b,5,1,16.1
198016.0,284997.0,0.6948002961434682,NaC,b,5,1,17.5
233692.0,348631.0,0.6703133112086992,NaC,b,5,1,21.0
232364.0,352875.0,0.6584881331916401,NaC,b,5,1,27.110883423451927
224878.0,346517.0,0.6489667173616301,NaC,b,5,1,35.0
133746.0,166607.0,0.802763389293367,NaDC,b,10,2,2.135
121975.0,149389.0,0.8164925128356171,NaDC,b,10,2,2.756273148050945
141534.0,172913.0,0.8185272362401902,NaDC,b,10,2,3.5583333333333336
148068.0,179778.0,0.8236157928111337,NaDC,b,10,2,4.003125000000001
116625.0,144542.0,0.8068589060619059,NaDC,b,10,2,4.536875
113689.0,139267.0,0.8163384003389174,NaDC,b,10,2,5.070625000000001
157876.0,225031.0,0.70157444974248,NaDC,b,10,2,5.604375
165403.0,238435.0,0.6937026862666974,NaDC,b,10,2,6.1381250000000005
163994.0,239269.0,0.6853959351190501,NaDC,b,10,2,6.671875
157670.0,231705.0,0.6804773310891004,NaDC,b,10,2,8.006250000000003
149356.0,218494.0,0.6835702582221937,NaDC,b,10,2,10.336024305191044
125903.0,182897.0,0.6883819854891005,NaDC,b,10,2,13.343749999999996
121582.0,150578.0,0.8074353491213856,NaDC,c,10,2,2.135
118799.0,147288.0,0.8065762316006735,NaDC,c,10,2,2.756273148050945
122431.0,150564.0,0.8131492255784916,NaDC,c,10,2,3.5583333333333336
122424.0,151583.0,0.8076367402677082,NaDC,c,10,2,4.003125000000001
123530.0,152302.0,0.8110858688658061,NaDC,c,10,2,4.536875
122713.0,151474.0,0.8101258301754757,NaDC,c,10,2,5.070625000000001
162576.0,227905.0,0.7133498606875672,NaDC,c,10,2,5.604375
161305.0,228081.0,0.7072268185425353,NaDC,c,10,2,6.1381250000000005
158536.0,231481.0,0.6848769445440447,NaDC,c,10,2,6.671875
155350.0,227526.0,0.6827791109587475,NaDC,c,10,2,8.006250000000003
148960.0,216699.0,0.687405110314307,NaDC,c,10,2,10.336024305191044
132955.0,192737.0,0.6898260323653476,NaDC,c,10,2,13.343749999999996
118235.0,146517.0,0.8069712047066211,NaDC,c,10,3,2.135
